Fecha,Ciudad,Sucursal,Categoría,Producto,Precio,Stock,Q0,Variación diaria precio
2026-06-12,La Paz,Calacoto,Frutas y Verduras,3M PONJITA DELICADA  CORDON CORPORAL,24.7,9.0,9.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,ACEITE DE BEBE ALOE VERA,45.0,8.0,8.0,0.0
2026-06-12,La Paz,Calacoto,Panadería,ACEITE DE BEBE CLASICO,45.0,10.0,10.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,ACEITE FARMAX CHOCOLATE 100 ML,25.7,2.0,2.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,ACIDO GLICOLICO GEL LIMPIADOR,138.0,7.0,7.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,AFEITADORA BIC FLEX 5 BLISTER 2UN,80.0,7.0,7.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,AFEITADORA SCHICK PIEL DELICADA MUJER 2H,6.0,16.0,16.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,AFEITADORA SCHICK PIEL DELICADA MUJER 4H,20.0,11.0,11.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,AFEITADORA SCHICK PIEL SENSIBLE HOMBRE 2,24.0,18.0,18.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,AFEITADORA SCHICK XTREME 3 X 1 UNIDAD,12.2,13.0,13.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,AFEITADORAS BIG SCAPE SOLEIL 3X2,138.0,18.0,18.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,AGUA CARBONATADA AGUA CON GAS PERRIER,24.9,51.0,51.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,AGUA CARBONATADA SPRING WATER 828 ML,54.9,12.0,12.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,AGUA DE MESA NATURAL SPRING WATER 828 ML,57.9,8.0,8.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,ALGABO TALCO DESOD. ROSA 180G,23.3,2.0,2.0,0.0
2026-06-12,La Paz,Calacoto,Bebidas,ALOE VERA OTRO MUNDO MANGO BOT 500 ML,14.0,6.0,6.0,0.0
2026-06-12,La Paz,Calacoto,Frutas y Verduras,AROMASENSE JUICY SPRING X230ML,81.0,5.0,5.0,0.0
