Fecha,Ciudad,Sucursal,Categoría,Índice_Laspeyres,Precio_Promedio_Pond,Inflación_Mensual_Acum,Inflación_Diaria
2026-05-27,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-05-27,La Paz,Calacoto,Abarrotes,100.0,22.67,0.0,0.0
2026-05-27,La Paz,Calacoto,Bebidas,100.0,35.1,0.0,0.0
2026-05-27,La Paz,Calacoto,Lácteos y Derivados,100.0,30.8,0.0,0.0
2026-05-27,La Paz,Calacoto,Frutas y Verduras,100.0,34.77,0.0,0.0
2026-05-27,La Paz,Calacoto,Panadería,100.0,45.03,0.0,0.0
2026-05-27,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-05-27,Santa Cruz,Roca y Coronado,Abarrotes,100.0,22.08,0.0,0.0
2026-05-27,Santa Cruz,Roca y Coronado,Bebidas,100.0,23.69,0.0,0.0
2026-05-27,Santa Cruz,Roca y Coronado,Lácteos y Derivados,100.0,46.55,0.0,0.0
2026-05-27,Santa Cruz,Roca y Coronado,Frutas y Verduras,100.0,36.98,0.0,0.0
2026-05-27,Santa Cruz,Roca y Coronado,Panadería,100.0,43.55,0.0,0.0
2026-05-28,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-05-28,La Paz,Calacoto,Abarrotes,99.8454,22.55,-0.15460000000000207,-0.0015460000000000473
2026-05-28,La Paz,Calacoto,Bebidas,99.8456,34.83,-0.15439999999999543,-0.0015439999999999898
2026-05-28,La Paz,Calacoto,Lácteos y Derivados,100.0,30.05,0.0,0.0
2026-05-28,La Paz,Calacoto,Frutas y Verduras,100.0847,34.78,0.084699999999998,0.0008470000000000422
2026-05-28,La Paz,Calacoto,Panadería,100.0,45.24,0.0,0.0
2026-05-28,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-05-28,Santa Cruz,Roca y Coronado,Abarrotes,99.9967,21.84,-0.003299999999995862,-3.2999999999949736e-05
2026-05-28,Santa Cruz,Roca y Coronado,Bebidas,100.0143,23.77,0.014300000000005753,0.00014300000000000423
2026-05-28,Santa Cruz,Roca y Coronado,Lácteos y Derivados,99.888,46.49,-0.11199999999999477,-0.0011199999999998989
2026-05-28,Santa Cruz,Roca y Coronado,Frutas y Verduras,100.0,37.03,0.0,0.0
2026-05-28,Santa Cruz,Roca y Coronado,Panadería,100.0,43.55,0.0,0.0
2026-05-29,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-05-29,La Paz,Calacoto,Bebidas,99.8466,34.21,-0.15340000000000487,1.0015463876023034e-05
2026-05-29,La Paz,Calacoto,Lácteos y Derivados,100.0,29.97,0.0,0.0
2026-05-29,La Paz,Calacoto,Frutas y Verduras,100.0845,34.73,0.08450000000000557,-1.9983074335261364e-06
2026-05-29,La Paz,Calacoto,Panadería,100.0,45.25,0.0,0.0
2026-05-29,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-05-29,Santa Cruz,Roca y Coronado,Lácteos y Derivados,99.8029,46.27,-0.19710000000000605,-0.0008519541886914395
2026-05-29,Santa Cruz,Roca y Coronado,Frutas y Verduras,100.0147,36.86,0.01470000000000482,0.00014700000000011926
2026-05-29,Santa Cruz,Roca y Coronado,Panadería,100.0,43.55,0.0,0.0
2026-05-30,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-05-30,La Paz,Calacoto,Abarrotes,99.8749,22.47,-0.12510000000000332,0.0002954567761759286
2026-05-30,La Paz,Calacoto,Bebidas,99.7937,34.25,-0.20629999999999882,-0.0005298127327320046
2026-05-30,La Paz,Calacoto,Lácteos y Derivados,100.0,26.54,0.0,0.0
2026-05-30,La Paz,Calacoto,Frutas y Verduras,100.0975,34.72,0.09749999999999659,0.00012989024274490113
2026-05-30,La Paz,Calacoto,Panadería,100.0,45.25,0.0,0.0
2026-05-30,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-05-30,Santa Cruz,Roca y Coronado,Abarrotes,100.0191,21.74,0.019099999999994566,0.00022400739224393007
2026-05-30,Santa Cruz,Roca y Coronado,Bebidas,99.9826,23.64,-0.017399999999994975,-0.00031695467548142897
2026-05-30,Santa Cruz,Roca y Coronado,Lácteos y Derivados,99.8034,46.15,-0.19660000000000366,5.009874462613695e-06
2026-05-30,Santa Cruz,Roca y Coronado,Frutas y Verduras,99.9434,36.87,-0.05660000000000309,-0.0007128952044049841
2026-05-30,Santa Cruz,Roca y Coronado,Panadería,100.0,43.49,0.0,0.0
2026-05-31,La Paz,Calacoto,Carnes,100.0,0.0,0.0,0.0
2026-05-31,La Paz,Calacoto,Abarrotes,100.0374,22.46,0.03740000000000521,0.0016270354213121507
2026-05-31,La Paz,Calacoto,Bebidas,99.7931,34.21,-0.20690000000000452,-6.012403588662174e-06
2026-05-31,La Paz,Calacoto,Lácteos y Derivados,100.6353,26.39,0.6353000000000009,0.006353000000000053
2026-05-31,La Paz,Calacoto,Frutas y Verduras,102.9067,35.54,2.9067000000000007,0.02806463697894568
2026-05-31,La Paz,Calacoto,Panadería,102.427,46.34,2.4270000000000067,0.024270000000000014
2026-05-31,Santa Cruz,Roca y Coronado,Carnes,100.0,0.0,0.0,0.0
2026-05-31,Santa Cruz,Roca y Coronado,Abarrotes,100.4509,21.95,0.4509000000000043,0.004317175419495056
2026-05-31,Santa Cruz,Roca y Coronado,Bebidas,99.9695,23.96,-0.030500000000003524,-0.00013102279796695093
2026-05-31,Santa Cruz,Roca y Coronado,Lácteos y Derivados,99.8437,46.3,-0.15630000000000166,0.0004037938587262424
2026-05-31,Santa Cruz,Roca y Coronado,Frutas y Verduras,99.9437,36.8,-0.05629999999999313,3.001698961613286e-06
